id,symbol,name,price,market_cap,volume,fetch_time,fetch_date
bitcoin,BTC,Bitcoin,68693.0,1374316277499,41039112614,2026-04-07 13:44:40,2026-07-04
ethereum,ETH,Ethereum,2107.73,254167390714,16704553280,2026-04-07 13:44:40,2026-07-04
tether,USDT,Tether,0.999949,184144893204,63326244094,2026-04-07 13:44:40,2026-07-04
binancecoin,BNB,BNB,600.1,81771668986,708913015,2026-04-07 13:44:40,2026-07-04
ripple,XRP,XRP,1.31,80614547583,1462988665,2026-04-07 13:44:40,2026-07-04
usd-coin,USDC,USDC,0.999921,77879227108,11765193467,2026-04-07 13:44:40,2026-07-04
solana,SOL,Solana,79.99,45845454682,2661741709,2026-04-07 13:44:40,2026-07-04
tron,TRX,TRON,0.316161,29967396411,419863084,2026-04-07 13:44:40,2026-07-04
figure-heloc,FIGR_HELOC,Figure Heloc,1.019,16784883320,24253841,2026-04-07 13:44:40,2026-07-04
dogecoin,DOGE,Dogecoin,0.090731,13940518933,840218939,2026-04-07 13:44:40,2026-07-04
usds,USDS,USDS,0.999716,11309701509,21247247,2026-04-07 13:44:40,2026-07-04
whitebit,WBT,WhiteBIT Coin,51.63,11009018755,67894792,2026-04-07 13:44:40,2026-07-04
leo-token,LEO,LEO Token,10.11,9314626145,363942,2026-04-07 13:44:40,2026-07-04
cardano,ADA,Cardano,0.243438,8980747524,374530504,2026-04-07 13:44:40,2026-07-04
hyperliquid,HYPE,Hyperliquid,36.28,8644109670,173500452,2026-04-07 13:44:40,2026-07-04
bitcoin-cash,BCH,Bitcoin Cash,431.52,8633888596,163311682,2026-04-07 13:44:40,2026-07-04
chainlink,LINK,Chainlink,8.79,6383596246,248752755,2026-04-07 13:44:40,2026-07-04
monero,XMR,Monero,331.58,6109110847,82329653,2026-04-07 13:44:40,2026-07-04
ethena-usde,USDE,Ethena USDe,0.99977,5886743578,112041841,2026-04-07 13:44:40,2026-07-04
canton-network,CC,Canton,0.147576,5645564609,9025619,2026-04-07 13:44:40,2026-07-04
stellar,XLM,Stellar,0.155828,5154057568,118826989,2026-04-07 13:44:40,2026-07-04
memecore,M,MemeCore,2.64,4640577658,25799167,2026-04-07 13:44:40,2026-07-04
dai,DAI,Dai,0.999591,4459294732,81237063,2026-04-07 13:44:40,2026-07-04
usd1-wlfi,USD1,USD1,0.999648,4401134825,1010933055,2026-04-07 13:44:40,2026-07-04
zcash,ZEC,Zcash,263.83,4387517637,304332880,2026-04-07 13:44:40,2026-07-04
litecoin,LTC,Litecoin,53.36,4109613897,274388104,2026-04-07 13:44:40,2026-07-04
paypal-usd,PYUSD,PayPal USD,0.99992,3947135397,117079545,2026-04-07 13:44:40,2026-07-04
hedera-hashgraph,HBAR,Hedera,0.086718,3758382043,65251175,2026-04-07 13:44:40,2026-07-04
avalanche-2,AVAX,Avalanche,8.66,3739213606,373441367,2026-04-07 13:44:40,2026-07-04
sui,SUI,Sui,0.874891,3457117790,355622211,2026-04-07 13:44:40,2026-07-04
shiba-inu,SHIB,Shiba Inu,5.86e-06,3452124342,101418488,2026-04-07 13:44:40,2026-07-04
the-open-network,TON,Toncoin,1.23,3045560491,71757312,2026-04-07 13:44:40,2026-07-04
world-liberty-financial,WLFI,World Liberty Financial,0.098276,3024310012,40886186,2026-04-07 13:44:40,2026-07-04
rain,RAIN,Rain,0.00629797,3013923380,23804736,2026-04-07 13:44:40,2026-07-04
bittensor,TAO,Bittensor,312.53,2993124480,272783499,2026-04-07 13:44:40,2026-07-04
crypto-com-chain,CRO,Cronos,0.069436,2940960735,10471552,2026-04-07 13:44:40,2026-07-04
hashnote-usyc,USYC,Circle USYC,1.12,2683510301,224298,2026-04-07 13:44:40,2026-07-04
tether-gold,XAUT,Tether Gold,4623.45,2586409488,326723720,2026-04-07 13:44:40,2026-07-04
pax-gold,PAXG,PAX Gold,4636.78,2381870989,186410527,2026-04-07 13:44:40,2026-07-04
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,2348057869,0,2026-04-07 13:44:40,2026-07-04
mantle,MNT,Mantle,0.653363,2141448185,32453388,2026-04-07 13:44:40,2026-07-04
polkadot,DOT,Polkadot,1.24,2072857570,100678152,2026-04-07 13:44:40,2026-07-04
uniswap,UNI,Uniswap,3.08,1949869413,136346953,2026-04-07 13:44:40,2026-07-04
global-dollar,USDG,Global Dollar,0.999913,1894160422,86738482,2026-04-07 13:44:40,2026-07-04
sky,SKY,Sky,0.076026,1760353324,15636004,2026-04-07 13:44:40,2026-07-04
falcon-finance,USDF,Falcon USD,0.997844,1741945656,496742,2026-04-07 13:44:40,2026-07-04
okb,OKB,OKB,82.69,1736788215,10763541,2026-04-07 13:44:40,2026-07-04
pi-network,PI,Pi Network,0.169666,1715449120,12816144,2026-04-07 13:44:40,2026-07-04
aster-2,ASTER,Aster,0.668655,1644082221,60623645,2026-04-07 13:44:40,2026-07-04
near,NEAR,NEAR Protocol,1.24,1600026055,122708977,2026-04-07 13:44:40,2026-07-04
