id,symbol,name,current_price,market_cap,total_volume,fetch_time,fetch_date
bitcoin,btc,Bitcoin,68693.0,1374316277499,41039112614.0,13:44:40,07-04-2026
ethereum,eth,Ethereum,2107.73,254167390714,16704553280.0,13:44:40,07-04-2026
tether,usdt,Tether,0.999949,184144893204,63326244094.0,13:44:40,07-04-2026
binancecoin,bnb,BNB,600.1,81771668986,708913015.0,13:44:40,07-04-2026
ripple,xrp,XRP,1.31,80614547583,1462988665.0,13:44:40,07-04-2026
usd-coin,usdc,USDC,0.999921,77879227108,11765193467.0,13:44:40,07-04-2026
solana,sol,Solana,79.99,45845454682,2661741709.0,13:44:40,07-04-2026
tron,trx,TRON,0.316161,29967396411,419863084.0,13:44:40,07-04-2026
figure-heloc,figr_heloc,Figure Heloc,1.019,16784883320,24253841.0,13:44:40,07-04-2026
dogecoin,doge,Dogecoin,0.090731,13940518933,840218939.0,13:44:40,07-04-2026
usds,usds,USDS,0.999716,11309701509,21247247.0,13:44:40,07-04-2026
whitebit,wbt,WhiteBIT Coin,51.63,11009018755,67894792.0,13:44:40,07-04-2026
leo-token,leo,LEO Token,10.11,9314626145,363942.0,13:44:40,07-04-2026
cardano,ada,Cardano,0.243438,8980747524,374530504.0,13:44:40,07-04-2026
hyperliquid,hype,Hyperliquid,36.28,8644109670,173500452.0,13:44:40,07-04-2026
bitcoin-cash,bch,Bitcoin Cash,431.52,8633888596,163311682.0,13:44:40,07-04-2026
chainlink,link,Chainlink,8.79,6383596246,248752755.0,13:44:40,07-04-2026
monero,xmr,Monero,331.58,6109110847,82329653.0,13:44:40,07-04-2026
ethena-usde,usde,Ethena USDe,0.99977,5886743578,112041841.0,13:44:40,07-04-2026
canton-network,cc,Canton,0.147576,5645564609,9025619.0,13:44:40,07-04-2026
stellar,xlm,Stellar,0.155828,5154057568,118826989.0,13:44:40,07-04-2026
memecore,m,MemeCore,2.64,4640577658,25799167.0,13:44:40,07-04-2026
dai,dai,Dai,0.999591,4459294732,81237063.0,13:44:40,07-04-2026
usd1-wlfi,usd1,USD1,0.999648,4401134825,1010933055.0,13:44:40,07-04-2026
zcash,zec,Zcash,263.83,4387517637,304332880.0,13:44:40,07-04-2026
litecoin,ltc,Litecoin,53.36,4109613897,274388104.0,13:44:40,07-04-2026
paypal-usd,pyusd,PayPal USD,0.99992,3947135397,117079545.0,13:44:40,07-04-2026
hedera-hashgraph,hbar,Hedera,0.086718,3758382043,65251175.0,13:44:40,07-04-2026
avalanche-2,avax,Avalanche,8.66,3739213606,373441367.0,13:44:40,07-04-2026
sui,sui,Sui,0.874891,3457117790,355622211.0,13:44:40,07-04-2026
shiba-inu,shib,Shiba Inu,5.86e-06,3452124342,101418488.0,13:44:40,07-04-2026
the-open-network,ton,Toncoin,1.23,3045560491,71757312.0,13:44:40,07-04-2026
world-liberty-financial,wlfi,World Liberty Financial,0.098276,3024310012,40886186.0,13:44:40,07-04-2026
rain,rain,Rain,0.00629797,3013923380,23804736.0,13:44:40,07-04-2026
bittensor,tao,Bittensor,312.53,2993124480,272783499.0,13:44:40,07-04-2026
crypto-com-chain,cro,Cronos,0.069436,2940960735,10471552.0,13:44:40,07-04-2026
hashnote-usyc,usyc,Circle USYC,1.12,2683510301,224298.0,13:44:40,07-04-2026
tether-gold,xaut,Tether Gold,4623.45,2586409488,326723720.0,13:44:40,07-04-2026
pax-gold,paxg,PAX Gold,4636.78,2381870989,186410527.0,13:44:40,07-04-2026
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2348057869,0.0,13:44:40,07-04-2026
mantle,mnt,Mantle,0.653363,2141448185,32453388.0,13:44:40,07-04-2026
polkadot,dot,Polkadot,1.24,2072857570,100678152.0,13:44:40,07-04-2026
uniswap,uni,Uniswap,3.08,1949869413,136346953.0,13:44:40,07-04-2026
global-dollar,usdg,Global Dollar,0.999913,1894160422,86738482.0,13:44:40,07-04-2026
sky,sky,Sky,0.076026,1760353324,15636004.0,13:44:40,07-04-2026
falcon-finance,usdf,Falcon USD,0.997844,1741945656,496742.0,13:44:40,07-04-2026
okb,okb,OKB,82.69,1736788215,10763541.0,13:44:40,07-04-2026
pi-network,pi,Pi Network,0.169666,1715449120,12816144.0,13:44:40,07-04-2026
aster-2,aster,Aster,0.668655,1644082221,60623645.0,13:44:40,07-04-2026
near,near,NEAR Protocol,1.24,1600026055,122708977.0,13:44:40,07-04-2026
